file,5,6.2,7.1,7.10,7.15,7.18.1,7.18.3,7.18.4,7.18.5,7.2,7.20,7.21.3.2,7.21.3.3,7.21.4.1,7.21.4.2,7.21.5,7.21.6,7.21.7,7.21.8,7.3,7.4.2,7.5,7.9
adopt050infoc.pdf,,,O,,,,,,,,,,,,O,,,,,,,,
adopt050infok.pdf,,,O,,,,,,,,,,,,O,,,,,,,,
adopt050infos.pdf,,,O,,,,,,,,,,,,,,,,,,,,
adopt050infov.pdf,,,O,,,,,,,O,,,,,O,,,,,,,,
adopt200c.pdf,,,O,,,,,,,O,,,,,O,,,,,,,,
adopt200k.pdf,,,O,,,,,,,,,,,,O,,,,,,,,
adopt200s.pdf,,,O,,,,,,,O,,,,,O,,,,,,,,
adopt200v.pdf,O,,O,,,O,O,O,O,O,,,,,O,,,,,O,,,
adopt203c.pdf,,,O,,,,,,,,,,,,O,,,,,,,,
adopt203k.pdf,,,O,,,,,,,,,,,,O,,,,,,,,
adopt203s.pdf,,,O,,,,,,,,,,,,O,,,,,,,,
adopt210c.pdf,,,O,,,,,,,,,,,,O,,,,,,,,
adopt210k.pdf,,,O,,,,,,,,,,,,O,,,,,,,,
adopt210s.pdf,,,O,,,,,,,,,,,,O,,,,,,,,
adopt215c.pdf,,,O,,,,,,,,,,,,O,,,,,,,,
adopt215k.pdf,,,O,,,,,,,,,,,,O,,,,,,,,
adopt215s.pdf,,,O,,,,,,,,,,,,O,,,,,,,,
adopt216s.pdf,O,O,O,,,,,,,O,,,,O,O,,,O,,,,,
adopt230c.pdf,,,,,,,,,,,,,,,O,,,,,,,,
adopt230k.pdf,,,O,,,,,,,,,,,,O,,,,,,,,
adopt230s.pdf,,,O,,,,,,,,,,,,O,,,,,,,,
adopt310c.pdf,,,,,,,,,,,,,,,O,,,,,,,,
adopt310k.pdf,,,O,,,,,,,O,,,,,O,,,,,,,,
app001infoc.pdf,,,,,,,,,,O,,,,,O,,,,,,,,
app001infok.pdf,O,,O,,,,,,,,,,,,O,,,,,,,,
app001infos.pdf,O,,O,,,,,,O,,,,,,O,,,,,,,,
app001infov.pdf,O,,O,,,O,,,O,O,,,,,O,,,,,,,,
app015infoc.pdf,,,,,,,,,,O,,,,,O,,,,,,,O,
app015infok.pdf,O,,O,,,,,,,,,,,,O,,,,,,,,
app015infos.pdf,O,,O,,,O,,,O,,,,,,O,,,,,,,,
app015infov.pdf,O,,O,,,O,,,O,,,,,,O,,,,,,,O,
app016gcs.pdf,O,,O,,,,,,,O,,,,,O,,,,,,,,
app016s.pdf,O,,O,,O,,,,,O,,,,O,,,,,,,,,
care050infoc.pdf,,,O,,,,,,,,,,,,O,,,,,,,,
care050infof.pdf,,,,,,,,,,O,,,,,O,,,,,,,,
