file,6.2,7.1,7.10,7.15,7.18.1,7.18.3,7.18.4,7.18.5,7.2,7.20,7.21.3.1,7.21.3.2,7.21.3.3,7.21.4.1,7.21.5,7.21.6,7.21.7,7.21.8,7.3,7.5,7.9
adopt050infoc.pdf,,O,,,,,,,,,,,,,,,,,,,
adopt050infok.pdf,,O,,,,,,,,,,,,,,,,,,,
adopt050infos.pdf,,O,,,,,,,,,,,,,,,,,,,
adopt050infov.pdf,,O,,,,,,,,,,,,,,,,,,,
adopt200c.pdf,,O,,,,,,,,,,,,,,,,,,,
adopt200k.pdf,,O,,,,,,,,,,,,,,,,,,,
adopt200s.pdf,,O,,,,,,,,,,,,,,,,,,,
adopt200v.pdf,,O,,,,O,O,,,,,,,,,,,,O,,
adopt203c.pdf,,O,,,,,,,,,,,,,,,,,,,
adopt203k.pdf,,O,,,,,,,,,,,,,,,,,,,
adopt203s.pdf,,O,,,,,,,,,,,,,,,,,,,
adopt210c.pdf,,O,,,,,,,,,,,,,,,,,,,
adopt210k.pdf,,O,,,,,,,,,,,,,,,,,,,
adopt210s.pdf,,O,,,,,,,,,,,,,,,,,,,
adopt215c.pdf,,O,,,,,,,,,,,,,,,,,,,
adopt215k.pdf,,O,,,,,,,,,,,,,,,,,,,
adopt215s.pdf,,O,,,,,,,,,,,,,,,,,,,
adopt216s.pdf,O,O,,,,,,,O,,,,,O,,,O,,,,
adopt230c.pdf,,,,,,,,,,,,,,,,,,,,,
adopt230k.pdf,,O,,,,,,,,,,,,,,,,,,,
adopt230s.pdf,,O,,,,,,,,,,,,,,,,,,,
adopt310c.pdf,,,,,,,,,,,,,,,,,,,,,
adopt310k.pdf,,O,,,,,,,,,,,,,,,,,,,
app001infoc.pdf,,,,,,,,,,,,,,,,,,,,,
app001infok.pdf,,O,,,,,,,,,,,,,,,,,,,
app001infos.pdf,,O,,,,,,,,,,,,,,,,,,,
app001infov.pdf,,O,,,,,,,O,,,,,,,,,,,,
app015infoc.pdf,,,,,,,,,,,,,,,,,,,,,
app015infok.pdf,,O,,,,,,,,,,,,,,,,,,,
