path,page_count
/courts/default/2024-08/ab1058-2019-understanding-military-handouts.pdf,9
/courts/default/2024-08/ab1058-2020-parentage-handout.pdf,64
/courts/default/2024-08/aocbrief_human_traficking.pdf,30
/courts/default/2024-08/btb20jun4effectedoutcomept2of2.pdf,306
/courts/default/2024-08/courttoolkit-tribalstatefederal-adminclerks.pdf,121
/courts/default/2024-08/empprept.pdf,445
/courts/default/2024-08/jourvol1.pdf,201
/courts/default/2024-10/13-imperial-fy-23-24-q1-qfs.pdf,6
/courts/default/2024-10/20110909item1.pdf,47
/courts/default/2024-10/22-mariposa-fy-23-24-q1-qfs.pdf,6
/courts/default/2024-10/22-mariposa-fy22-23-q3-qfs.pdf,6
/courts/default/2024-10/28-napa-fy-23-24-q1-qfs.pdf,6
/courts/default/2024-10/28-napa-fy-23-24-q2-qfs.pdf,6
/courts/default/2024-10/28-napa-fy-23-24-q3-qfs.pdf,6
/courts/default/2024-10/39-san-joaquin-fy-23-24-q1-qfs.pdf,6
/courts/default/2024-10/54-tulare-fy-23-24-q1-qfs.pdf,6
/courts/default/2024-10/7a-1314-orange.pdf,47
/courts/default/2024-10/7a-1314-sacramento.pdf,59
/courts/default/2024-10/7a-1415-orange.pdf,63
/courts/default/2024-10/7a-1415-sacramento.pdf,58
/courts/default/2024-10/7a-1516-orange.pdf,65
/courts/default/2024-10/7a-1516-sacramento.pdf,81
/courts/default/2024-10/7a-1617-contracosta.pdf,35
/courts/default/2024-10/7a-1617-losangeles.pdf,47
/courts/default/2024-10/7a-1617-orange.pdf,66
/courts/default/2024-10/7a-1617-sacramento.pdf,76
/courts/default/2024-10/7a-1718-losangeles.pdf,57
/courts/default/2024-10/7a-1718-sacramento.pdf,81
/courts/default/2024-10/7a-1819-losangeles.pdf,64
/courts/default/2024-10/7a-1819-orange.pdf,69
/courts/default/2024-10/7a-1819-sacramento.pdf,93
/courts/default/2024-10/7a-1819-siskiyou.pdf,106
/courts/default/2024-10/7a-1920-colusa.pdf,10
/courts/default/2024-10/7a-1920-losangeles.pdf,49
/courts/default/2024-10/7a-1920-orange.pdf,58
/courts/default/2024-10/7a-1920-sacramento.pdf,56
/courts/default/2024-10/7a-1920-santaclara.pdf,61
/courts/default/2024-10/7a-2122-losangeles.pdf,71
/courts/default/2024-10/7a-2122-orange.pdf,64
/courts/default/2024-10/7a-2122-sacramento.pdf,106
/courts/default/2024-10/7a-2122-santaclara.pdf,68
/courts/default/2024-10/7a-2122-ventura.pdf,112
/courts/default/2024-10/7a-2223-losangeles.pdf,76
/courts/default/2024-10/7a-2223-orange.pdf,49
/courts/default/2024-10/7a-2223-sacramento.pdf,64
/courts/default/2024-10/7a-2223-santaclara.pdf,46
/courts/default/2024-10/7a-2324-los-angeles.pdf,68
/courts/default/2024-10/7a-2324-san-bernardino.pdf,109
/courts/default/2024-10/7a-2324-san-diego.pdf,31
/courts/default/2024-10/7a-2324-santa-clara.pdf,39
/courts/default/2024-10/age1201.pdf,8
/courts/default/2024-10/alameda_q4_2007-08.pdf,148
/courts/default/2024-10/alpine_q4_2007-08.pdf,147
/courts/default/2024-10/butte_q4_2007-08.pdf,139
/courts/default/2024-10/c197a.pdf,69
/courts/default/2024-10/c347a.pdf,85
/courts/default/2024-10/c437a.pdf,67
/courts/default/2024-10/calaveras-sch1-2223.pdf,4
/courts/default/2024-10/calaveras_q4_2007-08.pdf,147
/courts/default/2024-10/ccr-17-18-ebinder.pdf,518
/courts/default/2024-10/ccr-18-19-ebinder.pdf,574
/courts/default/2024-10/colusa-fy-22-23-q2-qfs.pdf,6
/courts/default/2024-10/colusa_q4_2007-08.pdf,147
