Clause,Count,Description
1.3.4,7156,Pages shall have the same orientation
1.4.8,281,Document should not contain illegible font
6.2,373,"The document catalog dictionary shall include a MarkInfo dictionary containing an entry, Marked, whose value shall be true"
7.1,8007,"The Metadata stream in the document's catalog dictionary shall contain a dc:title entry, where dc is the recommended prefix for the Dublin Core metadata schema as defined in the XMP specification, which clearly identifies the document"
7.10,129,"Each optional content configuration dictionary that forms the value of the D key, or that is an element in the array that forms the value of the Configs key in the OCProperties dictionary, shall contain the Name key"
7.11,9,The file specification dictionary for an embedded file shall contain the non-empty F and UF keys
7.15,2,Dynamic XFA forms shall not be used
7.18.1,1206,A form field shall have a TU key present or all its Widget annotations shall have alternative descriptions (in the form of an Alt entry in the enclosing structure elements)
7.18.3,180,"Every page on which there is an annotation shall contain in its page dictionary the key Tabs, and its value shall be S"
7.18.4,178,"If the Form element omits a Role attribute (Table 348), it shall have only one child: an object reference (14.7.4.3) identifying the widget annotation per ISO 32000-1:2008, 14.8.4.5, Table 340"
7.18.5,355,"Links shall be tagged according to ISO 32000-1:2008, 14.8.4.4.2, Link Element"
7.2,9489,Table rows shall have the same number of columns (taking into account column spans)
7.20,13,"The content of Form XObjects shall be incorporated into structure elements according to ISO 32000-1:2008, 14.7.2"
7.21.3.2,36,"ISO 32000-1:2008, 9.7.4, Table 117 requires that all embedded Type 2 CIDFonts in the CIDFont dictionary shall contain a CIDToGIDMap entry that shall be a stream mapping from CIDs to glyph indices or the name Identity, as described in ISO 32000-1:2008, 9.7.4, Table 117"
7.21.4.1,441,"The font programs for all fonts used for rendering within a conforming file shall be embedded within that file, as defined in ISO 32000-1:2008, 9.9"
7.21.5,221,"For every font embedded in a conforming file and used for rendering, the glyph width information in the font dictionary and in the embedded font program shall be consistent"
7.21.6,11,Symbolic TrueType fonts shall not contain an Encoding entry in the font dictionary
7.21.7,904,"The Font dictionary of all fonts shall define the map of all used character codes to Unicode values, either via a ToUnicode entry, or other mechanisms as defined in ISO 14289-1, 7.21.7"
7.21.8,219,"A PDF/UA compliant document shall not contain a reference to the .notdef glyph from any of the text showing operators, regardless of text rendering mode, in any content stream"
7.3,128,"Figure tags shall include an alternative representation or replacement text that represents the contents marked with the Figure tag as noted in ISO 32000-1:2008, 14.7.2, Table 323"
7.5,218,"If the table's structure is not determinable via Headers and IDs, then structure elements of type TH shall have a Scope attribute"
7.9,111,Note tag shall have ID entry
