Clause-Test,Count,Description
5-1,1644,The PDF/UA version and conformance level of a file shall be specified using the PDF/UA Identification extension schema
7.1-1,775,Content marked as Artifact should not be present inside tagged content
7.1-2,780,Tagged content should not be present inside content marked as Artifact
7.1-3,49,Content shall be marked as Artifact or tagged as real content
7.1-5,1721,"All non-standard structure types shall be mapped to the nearest functionally equivalent standard type, as defined in ISO 32000-1:2008, 14.8.4, in the role map dictionary of the structure tree root. This mapping may be indirect; within the role map a non-standard type can map directly to another non-standard type, but eventually the mapping shall terminate at a standard type"
7.1-6,1,A circular mapping shall not exist
7.1-7,123,"Standard tags defined in ISO 32000-1:2008, 14.8.4, shall not be remapped"
7.1-9,3964,"The Metadata stream in the document's catalog dictionary shall contain a dc:title entry, where dc is the recommended prefix for the Dublin Core metadata schema as defined in the XMP specification, which clearly identifies the document"
7.2-3,117,"Table element may contain only TR, THead, TBody, TFoot and Caption elements"
7.2-4,539,"TR element should be contained in Table, THead, TBody or TFoot element"
7.2-5,14,THead element should be contained in Table element
7.2-10,5,TR element may contain only TH and TD elements
7.2-14,459,"If Table element contains THead kid, Table element should contain one or more TBody kids"
7.2-17,230,LI element should be contained in L element
7.2-18,78,LBody element should be contained in LI element
7.2-19,96,"L element may contain only L, LI and Caption elements"
7.2-20,208,LI element may contain only Lbl and LBody elements
7.2-26,55,TOCI element should be contained in TOC element
7.2-27,40,"TOC element may contain only TOC, TOCI and Caption elements"
7.2-29,150,"If the Lang entry is present in the document's Catalog dictionary or in a structure element dictionary or property list, its value shall be a language identifier as described in ISO 32000-1:2008, 14.9.2. A language identifier shall be a Language-Tag as defined in RFC 3066, Tags for the Identification of Languages"
7.2-41,27,Table columns shall have the same number of rows (taking into account row spans)
7.2-42,5580,Table rows shall have the same number of columns (taking into account column spans)
7.2-43,3586,Table rows shall have the same number of columns (taking into account column spans)
7.4.2-1,7,"For documents that are not strongly structured, as described in ISO 32000-1:2008, 14.8.4.3.5, heading tags shall be used as follows: (*) If any heading tags are used, H1 shall be the first. (*) A document may use more than one instance of any specific tag level. For example, a tag level may be repeated if document content requires it. (*) If document semantics require a descending sequence of headers, such a sequence shall proceed in strict numerical order and shall not skip an intervening heading level. (*) A document may increment its heading sequence without restarting at H1 if document semantics require it"
7.5-1,3,"If the table's structure is not determinable via Headers and IDs, then structure elements of type TH shall have a Scope attribute"
7.11-1,8,The file specification dictionary for an embedded file shall contain the non-empty F and UF keys
7.15-1,2,Dynamic XFA forms shall not be used
7.18.1-2,88,"An annotation (except Widget annotations or hidden annotations, or those having rectangle outside the crop-box) shall have either Contents key or an Alt entry in the enclosing structure element"
7.18.1-3,1024,A form field shall have a TU key present or all its Widget annotations shall have alternative descriptions (in the form of an Alt entry in the enclosing structure elements)
7.18.4-1,1,"A Widget annotation shall be nested within a Form tag per ISO 32000-1:2008, 14.8.4.5, Table 340"
7.18.5-1,692,"Links shall be tagged according to ISO 32000-1:2008, 14.8.4.4.2, Link Element"
7.18.5-2,50,"Links shall contain an alternate description via their Contents key as described in ISO 32000-1:2008, 14.9.3"
7.20-2,10,"The content of Form XObjects shall be incorporated into structure elements according to ISO 32000-1:2008, 14.7.2"
7.21.4.1-1,98,"The font programs for all fonts used for rendering within a conforming file shall be embedded within that file, as defined in ISO 32000-1:2008, 9.9"
7.21.4.1-2,16,"Embedded fonts shall define all glyphs referenced for rendering within the conforming file. A font referenced solely in text rendering mode 3 is not rendered and is thus exempt from the requirements that impact the visual representation of the glyphs of a font. In all cases for TrueType fonts that are to be rendered, character codes shall be able to be mapped to glyphs according to ISO 32000-1:2008, 9.6.6.4 without the use of a non-standard mapping chosen by the conforming processor"
7.21.4.2-2,164,"If the FontDescriptor dictionary of an embedded CID font contains a CIDSet stream, then it shall identify all CIDs which are present in the font program, regardless of whether a CID in the font is referenced or used by the PDF or not"
7.21.5-1,208,"For every font embedded in a conforming file and used for rendering, the glyph width information in the font dictionary and in the embedded font program shall be consistent"
7.21.6-3,3,Symbolic TrueType fonts shall not contain an Encoding entry in the font dictionary
7.21.7-1,231,"The Font dictionary of all fonts shall define the map of all used character codes to Unicode values, either via a ToUnicode entry, or other mechanisms as defined in ISO 14289-1, 7.21.7"
7.21.7-2,105,"The Unicode values specified in the ToUnicode CMap shall all be greater than zero (0), but not equal to either U+FEFF or U+FFFE"
7.21.8-1,176,"A PDF/UA compliant document shall not contain a reference to the .notdef glyph from any of the text showing operators, regardless of text rendering mode, in any content stream"
