Clause-Test,Count,Description
1.3.4-1,7656,Pages shall have the same orientation
1.4.8-1,297,Document should not contain illegible font
6.2-1,383,"The document catalog dictionary shall include a MarkInfo dictionary containing an entry, Marked, whose value shall be true"
7.1-1,126,Content marked as Artifact should not be present inside tagged content
7.1-2,131,Tagged content should not be present inside content marked as Artifact
7.1-3,468,Content shall be marked as Artifact or tagged as real content
7.1-5,1067,"All non-standard structure types shall be mapped to the nearest functionally equivalent standard type, as defined in ISO 32000-1:2008, 14.8.4, in the role map dictionary of the structure tree root. This mapping may be indirect; within the role map a non-standard type can map directly to another non-standard type, but eventually the mapping shall terminate at a standard type"
7.1-6,1,A circular mapping shall not exist
7.1-7,246,"Standard tags defined in ISO 32000-1:2008, 14.8.4, shall not be remapped"
7.1-8,11,"The Catalog dictionary of a conforming file shall contain the Metadata key whose value is a metadata stream as defined in ISO 32000-1:2008, 14.3.2. The metadata stream dictionary shall contain entry Type with value /Metadata and entry Subtype with value /XML"
7.1-9,4700,"The Metadata stream in the document's catalog dictionary shall contain a dc:title entry, where dc is the recommended prefix for the Dublin Core metadata schema as defined in the XMP specification, which clearly identifies the document"
7.1-10,401,"The document catalog dictionary shall include a ViewerPreferences dictionary containing a DisplayDocTitle key, whose value shall be true"
7.1-11,189,"The logical structure of the conforming file shall be described by a structure hierarchy rooted in the StructTreeRoot entry of the document catalog dictionary, as described in ISO 32000-1:2008, 14.7"
7.2-2,240,Natural language in the Outline entries shall be determined
7.2-15,770,A table cell shall not have intersection with other cells
7.2-21,24,Natural language for text in ActualText attribute shall be determined
7.2-22,80,Natural language for text in Alt attribute shall be determined
7.2-24,35,Natural language in the Contents entry for annotations shall be determined
7.2-25,14,Natural language in the TU key for form fields shall be determined
7.2-29,150,"If the Lang entry is present in the document's Catalog dictionary or in a structure element dictionary or property list, its value shall be a language identifier as described in ISO 32000-1:2008, 14.9.2. A language identifier shall be a Language-Tag as defined in RFC 3066, Tags for the Identification of Languages"
7.2-30,43,Natural language for text in ActualText attribute in Span Marked Content shall be determined
7.2-33,270,Natural language for document metadata shall be determined
7.2-34,351,Natural language for text in page content shall be determined
7.2-41,271,Table columns shall have the same number of rows (taking into account row spans)
7.2-42,7918,Table rows shall have the same number of columns (taking into account column spans)
7.2-43,5884,Table rows shall have the same number of columns (taking into account column spans)
7.3-1,133,"Figure tags shall include an alternative representation or replacement text that represents the contents marked with the Figure tag as noted in ISO 32000-1:2008, 14.7.2, Table 323"
7.5-1,18,"If the table's structure is not determinable via Headers and IDs, then structure elements of type TH shall have a Scope attribute"
7.9-1,113,Note tag shall have ID entry
7.9-2,1,Each Note tag shall have unique ID key
7.10-1,136,"Each optional content configuration dictionary that forms the value of the D key, or that is an element in the array that forms the value of the Configs key in the OCProperties dictionary, shall contain the Name key"
7.10-2,51,The AS key shall not appear in any optional content configuration dictionary
7.11-1,9,The file specification dictionary for an embedded file shall contain the non-empty F and UF keys
7.15-1,2,Dynamic XFA forms shall not be used
7.18.1-1,73,"An annotation, excluding annotations of subtype Widget, PrinterMark or Link, shall be nested within an Annot tag"
7.18.1-2,119,"An annotation (except Widget annotations or hidden annotations, or those having rectangle outside the crop-box) shall have either Contents key or an Alt entry in the enclosing structure element"
7.18.1-3,1111,A form field shall have a TU key present or all its Widget annotations shall have alternative descriptions (in the form of an Alt entry in the enclosing structure elements)
7.18.3-1,181,"Every page on which there is an annotation shall contain in its page dictionary the key Tabs, and its value shall be S"
7.18.4-1,41,"A Widget annotation shall be nested within a Form tag per ISO 32000-1:2008, 14.8.4.5, Table 340"
7.18.4-2,15,"If the Form element omits a Role attribute (Table 348), it shall have only one child: an object reference (14.7.4.3) identifying the widget annotation per ISO 32000-1:2008, 14.8.4.5, Table 340"
7.18.5-1,264,"Links shall be tagged according to ISO 32000-1:2008, 14.8.4.4.2, Link Element"
7.20-2,13,"The content of Form XObjects shall be incorporated into structure elements according to ISO 32000-1:2008, 14.7.2"
7.21.3.2-1,34,"ISO 32000-1:2008, 9.7.4, Table 117 requires that all embedded Type 2 CIDFonts in the CIDFont dictionary shall contain a CIDToGIDMap entry that shall be a stream mapping from CIDs to glyph indices or the name Identity, as described in ISO 32000-1:2008, 9.7.4, Table 117"
7.21.4.1-1,427,"The font programs for all fonts used for rendering within a conforming file shall be embedded within that file, as defined in ISO 32000-1:2008, 9.9"
7.21.4.1-2,26,"Embedded fonts shall define all glyphs referenced for rendering within the conforming file. A font referenced solely in text rendering mode 3 is not rendered and is thus exempt from the requirements that impact the visual representation of the glyphs of a font. In all cases for TrueType fonts that are to be rendered, character codes shall be able to be mapped to glyphs according to ISO 32000-1:2008, 9.6.6.4 without the use of a non-standard mapping chosen by the conforming processor"
7.21.5-1,296,"For every font embedded in a conforming file and used for rendering, the glyph width information in the font dictionary and in the embedded font program shall be consistent"
7.21.6-2,3,"All non-symbolic TrueType fonts shall have either MacRomanEncoding or WinAnsiEncoding as the value for the Encoding key in the Font dictionary or as the value for the BaseEncoding key in the dictionary which is the value of the Encoding key in the Font dictionary. In addition, no non-symbolic TrueType font shall define a Differences array unless all of the glyph names in the Differences array are listed in the Adobe Glyph List and the embedded font program contains at least the Microsoft Unicode (3,1 – Platform ID=3, Encoding ID=1) encoding in the 'cmap' table"
7.21.6-3,7,Symbolic TrueType fonts shall not contain an Encoding entry in the font dictionary
7.21.7-1,470,"The Font dictionary of all fonts shall define the map of all used character codes to Unicode values, either via a ToUnicode entry, or other mechanisms as defined in ISO 14289-1, 7.21.7"
7.21.7-2,122,"The Unicode values specified in the ToUnicode CMap shall all be greater than zero (0), but not equal to either U+FEFF or U+FFFE"
7.21.8-1,272,"A PDF/UA compliant document shall not contain a reference to the .notdef glyph from any of the text showing operators, regardless of text rendering mode, in any content stream"
