project,total,remediated,Remediation %,partially remediated,broken
alpine,110,77,70,33,0
appellate,745,584,78,159,3
butte,1096,1022,93,74,0
calaveras,741,684,92,57,0
colusa,96,70,73,26,0
contracosta,2346,1432,61,914,0
courts,45042,26193,58,18783,11924
delnorte,103,79,77,24,0
eldorado,3304,2808,85,494,4
fresno,4685,4252,91,433,1
glenn,159,119,75,40,0
humboldt,475,437,92,38,0
imperial,838,757,90,81,0
inyo,76,69,91,7,0
kern,1012,864,85,148,3
kings,559,421,75,138,0
la,864,717,83,147,4
lake,473,272,58,201,0
lassen,396,292,74,104,0
madera,945,633,67,312,0
marin,1728,1626,94,99,392
mariposa,73,55,75,18,0
mendocino,834,437,52,397,0
merced,645,549,85,96,1
modoc,65,53,82,12,0
mono,268,225,84,43,1
monterey,792,597,75,195,14
napa,865,560,65,304,91
nccourt,1170,917,78,253,2
oc,5202,4083,78,1117,418
opinions,20403,18430,90,1973,1
partners,472,291,62,181,0
plumas,92,76,83,16,0
riverside,2725,2233,82,492,14
sanbenito,1635,1563,96,72,1
santabarbara,1832,1513,83,319,1
santaclara,8253,5733,69,2520,0
sc,709,617,87,92,2
sf,2189,1626,74,561,3
shasta,401,235,59,166,1053
sierra,187,124,66,63,1
siskiyou,75,62,83,13,0
slo2,702,590,84,112,0
solano,1237,1026,83,211,0
sonoma,5228,4584,88,643,10
srl,226,193,85,33,0
stanislaus,1060,774,73,286,8
supreme,15320,11767,77,3549,9
sutter,511,402,79,109,0
tehama,79,59,75,20,0
trinity,1368,1331,97,37,13
tularesuperiorcourt,889,649,73,240,13
tuolumne,563,430,76,131,2
ventura,1326,1142,86,184,4
yuba,300,277,92,23,0
