Clause-Test,Total,alpine,appellate,butte,calaveras,colusa,contracosta,courts,delnorte,eldorado,fresno,glenn,humboldt,imperial,inyo,kern,kings,la,lake,lassen,madera,marin,mariposa,mendocino,merced,modoc,mono,monterey,napa,nccourt,oc,opinions,partners,plumas,riverside,sanbenito,santabarbara,santaclara,sc,sf,shasta,sierra,siskiyou,slo2,solano,sonoma,srl,stanislaus,supreme,sutter,tehama,trinity,tularesuperiorcourt,tuolumne,ventura,yuba
5-1,8336,10,9,1,2,0,347,1967,1,10,210,6,1,13,2,8,3,0,2,4,2,12,1,285,7,0,12,16,194,179,541,655,4,7,17,0,89,1132,5,50,137,6,0,19,118,114,0,63,2028,11,2,6,11,0,9,8
7.1-9,8283,10,9,1,2,0,346,1896,1,20,209,6,1,13,2,8,3,0,2,4,2,12,1,285,4,0,12,16,194,179,541,655,4,7,16,0,89,1118,5,50,137,6,0,19,118,114,0,63,2056,11,2,6,11,0,9,8
7.2-14,3096,0,4,13,20,0,391,467,0,136,2,1,5,11,1,3,21,7,1,6,47,20,3,55,33,0,3,27,36,11,79,582,13,2,113,11,55,86,35,175,4,3,0,3,3,255,0,67,219,14,4,5,38,1,5,0
7.1-5,2689,1,0,10,2,0,4,1772,0,0,6,0,2,3,0,7,7,1,0,0,2,0,0,0,0,0,1,18,0,8,99,606,1,1,7,4,8,11,2,14,15,0,1,18,24,12,0,4,4,0,1,4,9,0,0,0
7.18.5-1,1902,2,9,8,3,0,21,963,0,9,1,1,1,0,0,6,2,16,2,10,9,2,0,1,4,0,0,25,8,6,25,41,15,0,7,11,17,68,5,47,0,0,1,12,2,4,0,27,497,2,0,2,0,4,6,0
7.21.7-1,1481,3,9,1,4,0,22,617,2,44,24,4,0,0,0,39,2,8,7,1,97,0,0,1,4,0,3,4,14,10,73,7,12,1,47,4,7,91,3,11,0,13,0,19,1,9,4,32,144,26,0,0,51,1,4,1
7.21.4.1-1,1193,1,10,0,4,0,8,504,1,6,3,2,0,0,0,4,47,0,3,0,0,0,0,0,1,0,1,2,28,0,28,2,3,0,47,0,6,14,0,0,0,2,0,1,0,7,0,23,431,0,0,0,0,1,2,1
7.21.5-1,1093,0,2,1,0,0,6,172,0,27,20,7,3,3,1,17,2,79,141,31,14,19,2,2,2,2,2,43,28,2,74,12,65,0,11,1,0,10,1,76,2,5,4,2,3,21,9,37,110,3,0,4,3,5,7,0
7.1-2,1066,3,1,12,7,0,13,872,0,1,0,0,1,3,0,2,11,8,0,0,3,0,0,2,2,0,3,8,1,0,23,0,5,0,1,4,4,6,1,6,2,2,1,19,0,1,0,7,17,6,0,0,7,0,1,0
7.1-1,1059,3,1,12,7,0,13,867,0,1,0,0,1,3,0,1,11,8,0,0,3,0,0,2,2,0,3,8,1,0,23,0,5,0,1,4,4,6,1,6,2,2,1,19,0,1,0,7,16,6,0,0,7,0,1,0
7.21.8-1,860,2,5,7,9,1,11,345,2,8,15,1,5,3,1,21,11,0,0,4,15,4,0,47,8,6,8,20,1,7,25,18,2,3,4,15,6,16,19,62,4,4,0,8,2,10,0,16,27,4,0,1,27,0,8,12
