Clause-Test,Total,alameda,alpine,amdr,appellate,butte,calaveras,colusa,contracosta,courts,delnorte,eldorado,fresno,glenn,humboldt,imperial,inyo,kern,kings,la,lake,lassen,madera,marin,mariposa,mendocino,merced,modoc,mono,monterey,napa,nccourt,newsroom,oc,opinions,partners,placer,plumas,riverside,sanbenito,sanbernardino,sanmateo,santabarbara,santaclara,sc,sf,shasta,sierra,siskiyou,slo2,solano,sonoma,srl,stanislaus,supreme,sutter,tehama,trinity,tularesuperiorcourt,tuolumne,ventura,yuba
5-1,6986,123,10,20,11,1,2,0,347,1967,2,11,208,7,1,12,2,8,3,0,2,6,3,12,1,285,7,0,12,16,194,179,0,538,655,5,16,7,18,0,7,300,89,1018,5,58,135,6,0,21,118,128,0,63,299,11,2,6,11,1,9,8
7.1-9,6896,123,10,20,11,1,2,0,346,1896,2,6,207,7,1,12,2,8,3,0,2,6,3,12,1,285,4,0,12,16,194,179,0,538,655,5,16,7,17,0,7,298,89,1016,5,58,135,6,0,21,118,128,0,63,295,11,2,6,11,1,9,8
7.2-14,3349,213,0,0,4,13,20,0,391,467,0,136,2,1,5,11,1,3,21,7,1,6,50,20,3,55,33,0,3,27,36,11,2,79,582,13,2,2,113,11,5,29,55,86,35,174,4,3,0,3,3,255,0,67,219,14,4,5,38,1,5,0
7.1-5,2742,9,1,11,0,10,2,0,4,1772,0,1,6,0,2,3,0,7,7,1,0,0,2,0,0,0,0,0,1,18,0,8,1,99,606,1,0,1,7,4,1,27,8,14,2,14,15,0,1,18,24,12,0,4,4,0,1,4,9,0,0,0
7.18.5-1,1951,23,2,2,9,8,4,0,21,963,0,18,1,1,1,0,0,6,2,16,2,13,9,2,0,1,4,0,0,25,8,6,6,25,41,15,1,0,7,11,1,3,17,65,5,47,0,0,1,12,2,5,0,27,497,2,0,2,0,6,6,0
7.21.7-1,1390,31,4,7,15,1,6,0,29,617,3,33,15,6,0,0,0,13,50,6,7,0,33,0,0,1,4,0,2,4,30,8,0,58,7,15,3,1,60,4,3,16,16,84,2,8,0,2,0,18,1,9,0,28,80,12,0,0,33,1,2,2
7.21.4.1-1,1230,19,1,2,11,0,6,0,8,504,2,3,3,4,0,0,0,6,47,0,3,0,0,0,0,0,1,0,2,2,29,0,0,26,2,6,0,0,48,0,1,9,9,9,0,0,0,2,0,1,0,7,0,23,431,0,0,0,0,1,0,2
7.1-2,1091,5,3,0,1,12,7,0,13,872,0,2,0,0,1,3,0,2,11,8,0,0,6,0,0,2,2,0,3,8,1,0,0,23,0,5,2,0,1,4,2,9,4,9,1,6,2,2,1,19,0,1,0,7,17,6,0,0,7,0,1,0
7.1-1,1078,5,3,0,1,12,7,0,13,867,0,2,0,0,1,3,0,1,11,8,0,0,3,0,0,2,2,0,3,8,1,0,0,23,0,5,0,0,1,4,2,9,4,8,1,6,2,2,1,19,0,1,0,7,16,6,0,0,7,0,1,0
7.21.8-1,973,62,2,3,5,7,10,1,11,345,3,9,10,1,5,3,1,24,11,0,0,4,15,4,0,47,8,6,9,20,1,8,1,26,18,2,2,3,4,15,8,30,8,16,19,60,4,4,0,9,2,9,0,16,29,4,0,1,27,1,8,12
