project,total,remediated,Remediation %,partially remediated,broken,total pages
alameda,2459,2115,86,342,2,13662
alpine,110,80,73,30,0,1314
amdr,1068,820,77,244,5,7400
appellate,746,611,82,133,3,6309
butte,1096,1061,97,35,0,10882
calaveras,743,698,94,45,0,4928
colusa,96,71,74,25,0,1267
contracosta,2346,1491,64,855,0,36040
courts,44899,29137,65,15696,11924,934192
delnorte,104,79,76,25,0,535
eldorado,3301,3017,91,282,4,85981
forms,1631,1054,65,558,19,4822
fresno,4685,4325,92,360,1,114059
glenn,161,127,79,34,0,4153
humboldt,476,450,95,26,0,3381
imperial,838,776,93,62,0,7007
inyo,76,71,93,5,0,746
kern,1009,895,89,114,3,8632
kings,560,451,81,109,0,9332
la,869,814,94,55,4,1111
lake,473,414,88,59,0,4324
lassen,396,355,90,41,0,4203
madera,945,723,77,222,0,14461
marin,1728,1676,97,49,392,25549
mariposa,73,60,82,13,0,309
mendocino,834,480,58,354,0,18964
merced,645,617,96,28,1,7553
modoc,65,55,85,10,0,398
mono,269,239,89,30,1,3608
monterey,792,698,88,94,14,19210
napa,866,600,69,265,91,9915
nccourt,1171,939,80,232,2,14767
newsroom,987,764,77,223,4,3064
oc,5205,4282,82,921,418,37867
opinions,142261,133867,94,8394,1,2176759
partners,475,339,71,136,0,4763
placer,1421,1078,76,343,9,24115
plumas,92,78,85,14,0,822
riverside,2730,2591,95,139,14,23036
sanbenito,1635,1586,97,49,1,9596
sanbernardino,1354,1181,87,173,1,7016
sanmateo,1514,1039,69,473,6,19723
santabarbara,1836,1618,88,218,1,14336
santaclara,8253,6017,73,2236,0,63284
sc,709,665,94,44,2,3531
sf,2189,1876,86,311,3,25605
shasta,401,239,60,162,1053,2346
sierra,187,130,70,57,1,2587
siskiyou,75,72,96,3,0,961
slo2,702,630,90,72,0,7791
solano,1237,1043,84,194,0,15196
sonoma,5229,4865,93,363,10,29341
srl,226,202,89,24,0,660
stanislaus,1060,885,83,175,8,16488
supremecourt,15322,14268,93,1050,9,714524
sutter,511,465,91,46,0,8573
tehama,79,66,84,13,0,710
trinity,1368,1341,98,27,13,6725
tularesuperiorcourt,888,672,76,216,13,17525
tuolumne,563,469,83,92,2,4465
ventura,1326,1169,88,157,4,5196
yuba,301,278,92,23,0,2825
