Clause-Test,Total,alameda,alpine,amdr,appellate,butte,calaveras,colusa,contracosta,courts,delnorte,eldorado,forms,fresno,glenn,humboldt,imperial,inyo,kern,kings,la,lake,lassen,madera,marin,mariposa,mendocino,merced,modoc,mono,monterey,napa,nccourt,newsroom,oc,opinions,partners,placer,plumas,riverside,sanbenito,sanbernardino,sanmateo,santabarbara,santaclara,sc,sf,shasta,sierra,siskiyou,slo2,solano,sonoma,srl,stanislaus,supremecourt,sutter,tehama,trinity,tularesuperiorcourt,tuolumne,ventura,yuba
7.1-5,3422,9,1,11,0,10,2,0,4,1846,0,1,92,6,0,2,3,0,7,7,1,0,0,2,0,0,0,0,0,1,18,0,8,1,99,1125,1,0,1,7,4,1,27,8,9,2,14,15,0,1,18,24,12,0,4,4,0,1,4,9,0,0,0
7.2-14,2308,209,0,0,4,13,20,0,391,470,0,3,0,2,1,5,11,1,3,21,7,1,6,50,20,3,55,0,0,3,27,36,11,2,79,0,13,2,2,113,11,5,28,55,1,35,174,4,3,0,3,3,255,0,67,13,14,4,5,38,1,5,0
7.18.5-1,1626,23,2,2,9,8,4,0,21,992,0,5,2,1,1,1,0,0,6,2,16,2,13,9,2,0,1,0,0,0,25,8,6,6,25,0,15,1,0,7,11,1,3,17,10,5,47,0,0,1,12,2,5,0,27,254,2,0,2,0,6,6,0
7.21.7-1,1359,17,4,7,14,1,4,0,29,434,2,40,113,15,4,0,0,0,17,49,1,7,0,33,0,0,1,4,0,1,4,29,8,0,55,0,12,3,1,60,4,3,13,13,91,2,8,0,2,0,18,1,9,0,28,148,12,0,0,34,1,2,1
7.1-2,1152,5,3,0,1,12,7,0,13,831,0,2,119,0,0,1,3,0,2,11,8,0,0,6,0,0,2,2,0,3,8,1,0,0,23,0,5,2,0,1,4,2,6,4,5,1,6,2,2,1,19,0,1,0,7,7,6,0,0,7,0,1,0
7.1-1,1138,5,3,0,1,12,7,0,13,825,0,2,118,0,0,1,3,0,1,11,8,0,0,3,0,0,2,2,0,3,8,1,0,0,23,0,5,0,0,1,4,2,6,4,5,1,6,2,2,1,19,0,1,0,7,6,6,0,0,7,0,1,0
7.21.4.1-1,1065,10,1,2,10,0,4,0,8,283,1,5,80,3,2,0,0,0,3,47,0,3,0,0,0,0,0,0,0,1,2,28,0,0,23,1,3,0,0,48,0,1,9,5,12,0,0,0,2,0,1,0,7,0,23,435,0,0,0,0,1,0,1
7.21.8-1,896,61,2,3,5,7,10,1,11,284,2,9,6,10,1,5,3,1,21,11,0,0,4,15,4,0,47,8,6,8,20,1,7,1,26,1,2,2,3,4,15,8,26,8,16,19,60,4,4,0,9,2,9,0,16,35,4,0,1,27,1,8,12
7.2-29,890,11,0,5,51,0,0,0,11,463,7,0,146,0,1,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,6,1,1,0,4,0,1,47,0,2,0,1,41,0,6,1,7,17,0,0,0,8,25,7,2,0,0,2,0,1,1,2,0
7.2-20,761,2,0,11,5,1,0,1,1,506,0,0,99,3,0,2,1,0,7,1,0,0,1,5,6,0,0,0,0,0,0,2,6,1,3,0,3,8,1,2,0,1,6,6,0,6,5,9,0,0,0,3,7,3,0,0,32,2,0,2,1,0,0
7.18.1-2,641,6,0,0,6,0,1,0,0,188,0,8,2,3,0,0,1,0,3,2,1,0,0,27,0,0,2,2,0,1,2,1,1,200,6,0,1,11,0,1,2,16,10,15,55,1,1,0,0,0,5,9,2,0,10,17,0,1,0,17,0,4,0
7.2-10,586,8,0,3,0,6,0,0,8,53,0,0,0,49,0,4,6,0,4,4,0,0,2,8,8,0,11,1,0,2,3,1,0,0,15,0,0,1,0,246,1,8,4,27,0,0,6,0,0,2,4,1,6,0,73,5,2,0,1,3,0,0,0
7.2-4,579,2,0,1,0,0,0,0,0,550,0,0,0,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.2-43,482,0,0,0,0,0,11,0,374,68,0,0,0,0,0,2,2,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,8,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0
7.21.4.2-2,478,1,0,2,0,0,0,0,0,417,0,2,3,0,0,0,1,0,0,0,0,0,3,1,0,0,2,0,0,0,2,0,1,0,1,0,9,1,0,1,0,0,7,2,1,0,0,0,0,0,1,2,6,0,0,12,0,0,0,0,0,0,0
7.2-19,422,0,1,5,4,6,1,0,8,145,0,13,152,4,0,0,0,0,1,4,0,0,11,1,1,0,0,0,0,0,0,0,1,2,8,0,1,4,0,3,3,1,0,1,0,2,22,0,0,0,3,5,1,0,0,1,0,1,1,0,0,5,0
7.1-3,411,1,1,1,0,0,0,0,4,221,0,15,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,6,1,6,0,3,0,2,9,0,2,1,16,7,5,13,0,4,0,0,2,0,0,1,0,0,67,5,0,0,7,0,1,0
7.21.5-1,389,0,0,0,2,1,0,0,6,171,0,3,54,10,0,0,0,0,8,0,0,0,0,10,0,0,0,0,0,0,0,28,0,0,7,0,2,0,0,1,0,1,4,0,1,1,0,0,2,0,0,0,13,0,25,36,0,0,0,2,0,1,0
7.2-17,294,2,0,0,0,0,0,0,0,266,0,0,0,1,0,3,2,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,1,3,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7.1-11,290,0,0,2,2,0,0,0,2,239,0,8,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,2,0,1,9,0,1,0,0,3,0,3,0,0,0,0,0,0,0,5,0,0,3,2,0,0,0,1,0,0
5-1,257,0,0,2,2,0,0,0,0,209,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,18,0,0,4,0,1,0,6,0,0,0,2,0,6,0,0,1,0,0,0,0,1,0,0
7.1-9,256,0,0,2,2,0,0,0,0,209,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,17,0,0,4,0,1,0,6,0,0,0,2,0,6,0,0,1,0,0,0,0,1,0,0
6.2-1,225,0,0,0,0,0,0,0,2,169,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,9,0,2,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,16,2,0,0,4,0,0,0
7.21.7-2,222,8,0,0,3,0,0,0,7,159,1,1,1,1,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,1,1,5,0,0,3,0,0,0,0,2,0,1,3,2,0,0,0,0,2,0,0,0,1,0,3,8,0,0,0,0,1,0,1
7.1-7,218,0,0,0,1,0,0,0,0,156,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,2,0,0,1,0,0,31,2,6,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7.2-34,201,0,0,0,0,0,0,0,1,156,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,9,0,2,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,13,2,0,0,4,0,0,0
7.18.4-1,199,0,0,2,2,0,0,0,0,170,0,5,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0
7.2-33,187,0,0,0,0,0,0,0,1,156,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0
7.2-18,185,0,1,0,1,5,1,0,0,109,0,7,0,4,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,5,0,1,4,1,3,3,0,0,1,0,2,20,0,0,0,3,0,0,0,0,1,0,1,0,0,0,3,0
7.2-42,181,7,0,0,0,1,9,0,13,76,0,0,0,7,0,9,0,0,1,0,0,0,0,5,0,0,0,1,0,0,1,5,0,0,6,0,0,0,0,6,0,3,19,0,1,0,0,0,0,0,3,0,1,0,1,5,0,0,0,1,0,0,0
7.18.5-2,175,3,0,0,2,0,0,0,0,133,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,15,0,0,1,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0
7.2-2,172,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4,0,0,0
7.5-1,161,1,0,0,1,1,0,0,11,45,0,0,0,0,0,0,3,0,0,0,0,0,0,34,0,1,0,0,0,6,4,7,3,0,11,0,0,0,0,5,0,2,1,5,0,0,1,0,0,0,9,0,0,0,0,5,0,0,0,0,0,4,1
7.2-3,136,0,0,0,0,0,0,0,0,123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7.10-1,91,0,0,0,0,0,0,0,0,78,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
7.2-26,85,0,0,0,0,0,0,0,2,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
7.21.4.1-2,85,0,0,0,2,0,0,0,6,25,0,2,3,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,14,0,0,0,2,0,0,0
7.18.3-1,74,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
7.1-10,69,0,0,0,0,0,0,0,1,40,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,9,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
7.3-1,64,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
7.2-27,57,0,0,0,0,0,0,0,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
7.18.1-1,55,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.4.2-1,50,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
7.9-1,49,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.11-1,48,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0
7.2-22,45,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
7.10-2,41,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
7.20-2,39,0,0,1,0,0,0,0,0,22,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.15-1,32,0,0,3,0,0,0,0,0,2,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.2-24,28,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.2-30,28,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
7.18.4-2,28,0,0,0,0,0,0,0,0,10,0,0,11,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
