project,processed total,passed,fail,success %
alpine,107,75,32,70%
appellate,695,561,134,81%
butte,1088,801,287,74%
calaveras,732,682,50,93%
colusa,88,67,21,76%
contracosta,2335,1398,937,60%
courts,39339,22155,17184,56%
delnorte,99,73,26,74%
eldorado,3122,2808,314,90%
fresno,4613,4214,399,91%
glenn,153,116,37,76%
humboldt,474,411,63,87%
imperial,819,751,68,92%
inyo,74,69,5,93%
kern,995,837,158,84%
kings,554,421,133,76%
la,868,717,151,83%
lake,454,261,193,57%
lassen,369,292,77,79%
madera,923,616,307,67%
marin,1716,1613,103,94%
mariposa,71,55,16,77%
mendocino,830,433,397,52%
merced,640,549,91,86%
modoc,64,52,12,81%
mono,264,221,43,84%
monterey,784,590,194,75%
napa,861,548,313,64%
nccourt,1165,904,261,78%
oc,5074,3838,1236,76%
partners,458,285,173,62%
plumas,90,76,14,84%
sanbenito,1620,711,909,44%
santabarbara,1758,1500,258,85%
santaclara,8054,5733,2321,71%
sc,697,612,85,88%
sf,2053,1617,436,79%
shasta,395,197,198,50%
sierra,182,124,58,68%
siskiyou,75,58,17,77%
slo2,694,584,110,84%
solano,1200,998,202,83%
sonoma,5090,4414,676,87%
srl,216,192,24,89%
stanislaus,1053,721,332,68%
supreme,15307,11767,3540,77%
sutter,500,392,108,78%
tehama,70,58,12,83%
trinity,1365,125,1240,9%
tularesuperiorcourt,870,645,225,74%
tuolumne,449,429,20,96%
ventura,1319,1138,181,86%
yuba,300,272,28,91%
