Clause-Test,Total,alpine,appellate,butte,calaveras,colusa,contracosta,courts,delnorte,eldorado,fresno,glenn,humboldt,imperial,inyo,kern,kings,la,lake,lassen,madera,marin,mariposa,mendocino,merced,modoc,mono,monterey,napa,nccourt,oc,partners,plumas,sanbenito,santabarbara,santaclara,sc,sf,shasta,sierra,siskiyou,slo2,solano,sonoma,srl,stanislaus,supreme,sutter,tehama,trinity,tularesuperiorcourt,tuolumne,ventura,yuba
5-1,13912,10,21,3,3,0,348,7496,2,10,236,9,8,20,2,23,5,0,11,6,10,14,1,286,7,1,16,28,202,189,795,7,7,8,91,1132,7,64,173,6,0,22,142,273,1,119,2028,21,2,8,13,1,12,13
7.1-9,10819,10,19,3,2,0,346,4463,2,20,231,8,19,21,2,23,5,0,13,6,10,15,1,286,4,1,16,26,202,187,749,7,7,2,91,1118,6,61,173,6,0,20,142,255,1,115,2056,20,3,8,13,1,12,12
7.1-10,6317,0,0,5,0,3,2,6143,6,2,15,0,7,8,0,11,2,0,9,0,1,2,0,3,2,2,0,10,0,2,13,2,0,9,6,10,3,3,0,0,0,3,3,2,0,2,8,2,0,7,7,0,2,0
7.1-3,5382,1,2,6,3,0,7,5068,1,15,12,1,10,2,0,8,4,0,1,2,3,1,0,0,8,1,1,17,1,9,12,6,0,20,15,27,7,8,1,1,2,3,4,3,0,4,68,2,0,0,11,0,4,0
7.21.4.1-1,4730,1,11,1,4,3,9,3997,6,6,11,2,4,8,0,12,47,0,12,0,3,0,0,3,1,0,1,5,28,1,37,6,0,3,10,14,1,3,0,2,0,1,1,9,0,25,431,0,0,4,2,1,2,2
6.2-1,3454,0,0,0,0,0,2,3413,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,9,2,0,0,4,0,0,0
7.2-42,3417,0,0,6,9,3,14,3215,6,0,16,0,13,8,0,13,2,0,9,0,13,2,0,3,2,2,0,6,5,1,20,2,0,3,5,8,2,0,0,0,0,6,3,3,0,2,3,0,0,7,3,0,2,0
7.21.5-1,3411,2,11,216,0,2,29,305,0,27,20,7,3,3,1,10,2,79,141,31,14,19,2,2,2,2,2,43,34,2,74,65,0,755,0,10,1,76,2,5,4,2,3,22,9,37,110,3,0,1207,3,5,7,0
7.2-34,3058,0,0,0,0,0,1,3014,0,2,5,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,0,0,0,2,3,0,3,0,0,0,0,0,2,0,1,7,2,0,1,5,0,0,0
7.2-14,2364,0,4,13,20,0,391,432,0,136,2,1,5,11,1,3,21,7,1,6,47,20,3,55,33,0,3,27,36,11,77,13,2,11,55,86,35,175,4,3,0,3,3,255,0,67,219,14,4,5,38,1,5,0
7.2-33,2339,0,0,0,0,0,1,2313,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,2,0,3,0,0,0,0,0,0,0,1,5,0,0,0,5,0,0,0
7.18.5-1,2257,2,10,8,4,0,21,1343,0,9,1,1,2,2,0,6,2,16,2,12,9,2,0,1,4,0,0,27,8,6,30,15,0,11,18,68,7,49,0,0,1,12,4,5,0,27,497,2,0,2,1,4,6,0
7.1-5,2152,0,0,5,2,0,3,1870,0,0,6,0,2,3,0,8,2,1,0,0,1,0,0,0,0,0,0,17,0,8,98,1,1,3,8,11,2,11,15,0,3,16,24,11,0,3,4,0,1,4,8,0,0,0
7.1-11,2121,0,2,0,0,0,2,2080,0,8,5,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,3,0,3,0,0,0,0,0,5,0,0,2,2,0,0,0,1,0,0
7.2-2,2079,0,0,0,0,0,0,2053,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1,7,0,0,1,5,0,0,0
